id,user_profile_id,correct,question_id,lesson_name,lesson_id,is_external,duration_ms,is_preassessment,timestamp,lesson_type,cloud_learner_id
1242142,375294,False,3,Python_Week9_Collection1_Q7,491,True,28782,False,2024-07-03 18:29:52.079868+00:00,TUT,22300
1241920,375202,True,2,More Circles Or Squares?,973,False,104,True,2024-06-26 19:45:11.124958+00:00,TUT,22295
1242178,375318,False,2,Python_Week5_Function2_Q3,569,True,13159,False,2024-07-03 20:06:37.703433+00:00,TUT,18724
1242179,375318,False,3,Python_Week5_Function2_Q3,569,True,20093,False,2024-07-03 20:07:06.156867+00:00,TUT,18724
1242164,375311,False,2,Python_Week9_Collection1_Q7,491,True,34593,False,2024-07-03 19:51:42.548169+00:00,TUT,18724
1242165,375311,False,3,Python_Week9_Collection1_Q7,491,True,29382,False,2024-07-03 19:52:19.716341+00:00,TUT,18724
1242697,375573,True,2,Picture Clues,942,False,115,True,2024-07-17 18:39:40.509752+00:00,TUT,22295
1242359,375408,True,2,Python_Week8_ControlFlow_Q2a,584,True,126,True,2024-07-04 15:20:07.749383+00:00,TUT,22302
1242380,375425,False,2,Python_Week5_Function2_Q3,569,True,21870,False,2024-07-04 15:48:14.620002+00:00,TUT,22302
1242381,375425,True,3,Python_Week5_Function2_Q3,569,True,25682,False,2024-07-04 15:48:49.454216+00:00,TUT,22302
1239099,374049,False,2,Python_Week2_Basics_Q7,644,True,9390,False,2024-05-27 15:50:57.768533+00:00,TUT,18724
1242608,375538,True,2,The Animal Song,946,False,115,True,2024-07-17 17:29:45.420248+00:00,TUT,22295
1242140,375293,True,2,Python_Week9_Collection1_Q6,490,True,136,True,2024-07-03 18:27:49.076499+00:00,TUT,22300
1239083,374036,False,2,Python_Week2_Basics_Q1a,634,True,57555,False,2024-05-27 15:22:30.108685+00:00,TUT,18724
1239084,374036,True,3,Python_Week2_Basics_Q1a,634,True,31536,False,2024-05-27 15:23:27.475428+00:00,TUT,18724
1239085,374036,True,4,Python_Week2_Basics_Q1a,634,True,21673,False,2024-05-27 15:23:59.345695+00:00,TUT,18724
1239086,374036,True,5,Python_Week2_Basics_Q1a,634,True,14357,False,2024-05-27 15:24:24.322718+00:00,TUT,18724
1880702,605956,False,2,Lesson Set 1 - Q09,1270,True,6362,False,2025-06-04 16:07:10.266634+00:00,TUT,35488
1880703,605956,False,3,Lesson Set 1 - Q09,1270,True,12117,False,2025-06-04 16:07:37.140482+00:00,TUT,35488
1880704,605956,False,4,Lesson Set 1 - Q09,1270,True,16773,False,2025-06-04 16:08:47.578786+00:00,TUT,35488
1242139,375292,True,2,Python_Week9_Collection1_Q5,489,True,137,True,2024-07-03 18:27:13.065369+00:00,TUT,22300
1239399,374150,False,2,Python_Week2_Basics_Q1a,634,True,23103,False,2024-05-29 15:54:34.857968+00:00,TUT,22181
1239400,374150,True,3,Python_Week2_Basics_Q1a,634,True,14825,False,2024-05-29 15:55:05.040327+00:00,TUT,22181
1239401,374150,False,4,Python_Week2_Basics_Q1a,634,True,22157,False,2024-05-29 15:55:54.182081+00:00,TUT,22181
1239402,374150,True,5,Python_Week2_Basics_Q1a,634,True,14340,False,2024-05-29 15:56:25.522436+00:00,TUT,22181
1880719,605964,False,2,Lesson Set 1 - Q05,1266,True,8254,False,2025-06-04 18:07:21.247449+00:00,TUT,35487
1880720,605964,True,3,Lesson Set 1 - Q05,1266,True,27754,False,2025-06-04 18:08:17.847861+00:00,TUT,35487
1880721,605964,True,4,Lesson Set 1 - Q05,1266,True,22909,False,2025-06-04 18:08:46.211813+00:00,TUT,35487
1241975,375221,True,1,2D Game,986,False,21162,False,2024-06-26 20:20:08.073966+00:00,ASM,22295
1241976,375221,True,2,2D Game,986,False,14045,False,2024-06-26 20:20:24.712827+00:00,ASM,22295
1241977,375221,True,3,2D Game,986,False,5329,False,2024-06-26 20:20:31.878539+00:00,ASM,22295
1241978,375221,False,4,2D Game,986,False,10729,False,2024-06-26 20:20:44.526561+00:00,ASM,22295
1242376,375421,True,2,Python_Week2_Basics_Q4b,640,True,121,True,2024-07-04 15:43:01.311872+00:00,TUT,22302
1242743,375592,True,1,The Big Zoo Trip,940,False,54340,False,2024-07-17 19:25:08.081102+00:00,ASM,22295
1242744,375592,True,2,The Big Zoo Trip,940,False,26167,False,2024-07-17 19:25:36.741499+00:00,ASM,22295
1242745,375592,True,3,The Big Zoo Trip,940,False,24322,False,2024-07-17 19:26:03.499452+00:00,ASM,22295
1242746,375592,True,4,The Big Zoo Trip,940,False,17466,False,2024-07-17 19:26:22.009656+00:00,ASM,22295
1242156,375306,True,2,Python_Week9_Collection1_Q1,481,True,98,True,2024-07-03 19:43:49.180758+00:00,TUT,18724
